URL,Redirect,Response Code,News Error,Detected,Category,Platform,Last crawled
/about/positions/program_officer_scholarly_resources,,404,,12/1/17,Not found,Desktop,12/2/17
/about/staff/images/Quon/view,,404,,12/1/17,Not found,Desktop,12/2/17
/activities/activities-completed,,404,,12/1/17,Not found,Smartphone,12/1/17
/diglib/presentations/ssp/sld001.htm,,410,,12/3/17,Not found,Smartphone,12/3/17
/feedback,,404,,12/2/17,Not found,Smartphone,12/2/17
/fellowships/datacuration-old,,404,,12/1/17,Not found,Desktop,12/2/17
/fellowships/datacuration-old/data-curation-host-flyer-september-2012/view,,404,,12/2/17,Not found,Desktop,12/2/17
/fellowships/datacuration-old/for-prospective-hosts,,404,,12/5/17,Not found,Desktop,12/5/17
/fellowships/datacuration-old/summer-2012-seminar-agenda,,404,,12/5/17,Not found,Desktop,12/5/17
/fellowships/datacuration-old/University%20of%20California-Los%20Angeles,,404,,12/2/17,Not found,Desktop,12/2/17
/fellowships/mellon/CLIRDirectDepositForm/at_download/file,,404,,12/2/17,Not found,Desktop,12/2/17
/fellowships/mellon/CLIRStipendDisburseForm/view,,404,,12/1/17,Not found,Desktop,12/2/17
/fellowships/mellon/mellon-fellows-video/view,,404,,12/2/17,Not found,Desktop,12/2/17
/fellowships/mellon/recipients.html/post-fellowship-agenda,,404,,12/2/17,Not found,Desktop,12/11/17
/fellowships/mellon/recipients.html/post-fellowship-agenda/at_download/file,,404,,12/12/17,Not found,Desktop,12/12/17
/fellowships/peterson-fellowship/peterson-fellowship-details,,404,,12/2/17,Not found,Desktop,12/2/17
/fellowships/postdoc/applicants/asu2013,,404,,12/1/17,Not found,Desktop,12/2/17
/fellowships/postdoc/applicants/cdl2013,,404,,12/2/17,Not found,Desktop,12/15/17
/fellowships/postdoc/applicants/chinese-university-of-hong-kong,,404,,12/1/17,Not found,Desktop,12/2/17
/fellowships/postdoc/applicants/dc-science,,404,,12/1/17,Not found,Desktop,12/5/17
/fellowships/postdoc/applicants/duke-university-1,,404,,12/1/17,Not found,Desktop,12/1/17
/fellowships/postdoc/applicants/GSU.png/view,,404,,11/29/17,Not found,Desktop,11/29/17
/fellowships/postdoc/applicants/middlebury-college-1,,404,,12/1/17,Not found,Desktop,12/3/17
/fellowships/postdoc/applicants/positions-all,,404,,12/2/17,Not found,Desktop,12/11/17
/fellowships/postdoc/applicants/positions-old,,404,,12/2/17,Not found,Desktop,12/2/17
/fellowships/postdoc/applicants/postdocflyer13mdvl.pdf/view,,404,,12/1/17,Not found,Desktop,12/11/17
/fellowships/postdoc/applicants/smith-college-1,,404,,12/1/17,Not found,Desktop,12/3/17
/fellowships/postdoc/applicants/swarthmore_upa2015,,404,,12/1/17,Not found,Desktop,12/2/17
/fellowships/postdoc/applicants/university-of-buffalo,,404,,12/2/17,Not found,Desktop,12/10/17
/fellowships/postdoc/applicants/usd2015,,404,,12/2/17,Not found,Desktop,12/11/17
/fellowships/postdoc/data-curation-host-flyer-september-2012/at_download/file,,404,,12/1/17,Not found,Desktop,12/1/17
/fellowships/postdoc/hosts/dc-science,,404,,12/1/17,Not found,Desktop,12/4/17
/fellowships/postdoc/hosts/host-application-earlymodern,,404,,11/30/17,Not found,Desktop,11/30/17
/fellowships/postdoc/hosts/host-application-earlymodern/data-curation-in-earlymodern-studies-proposal-form-template,,404,,12/1/17,Not found,Desktop,12/1/17
