URL,Redirect,Response Code,News Error,Detected,Category,Platform,Last crawled
/pubs/reports/pub169/spence,/wp-content/uploads/sites/6/spence.pdf,301,,12/1/17,Not found,Desktop,12/2/17
/pubs/reports/spiro/spiro_Jan13.pdf,/wp-content/uploads/sites/6/spiro_Jan13.pdf,301,,11/29/17,Not found,Desktop,12/17/17
/pubs/reports/spiro/spiro/spiro_Jan13.pdf,/wp-content/uploads/sites/6/spiro_Jan13.pdf,301,,11/30/17,Not found,Desktop,12/6/17
/pubs/reports/pub83/statlab/spread2.sas,/wp-content/uploads/sites/6/spread2.sas,301,,12/2/17,Not found,Desktop,12/13/17
/pubs/reports/reports/pub147/sumBaralt.pdf,/wp-content/uploads/sites/6/sumBaralt.pdf,301,,12/2/17,Not found,Desktop,12/13/17
/pubs/reports/reports/pub147/sumGevinson.pdf,/wp-content/uploads/sites/6/sumGevinson.pdf,301,,12/1/17,Not found,Desktop,12/1/17
/pubs/reports/reports/pub147/sumIntro.pdf,/wp-content/uploads/sites/6/sumIntro.pdf,301,,12/1/17,Not found,Desktop,12/2/17
/pubs/reports/reports/pub147/sumSoler.pdf,/wp-content/uploads/sites/6/sumSoler.pdf,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub167/survey.pdf,/wp-content/uploads/sites/6/survey.pdf,301,,12/1/17,Not found,Desktop,12/4/17
/pubs/reports/pub110/pdftables_amy/PDF3/T-117-263.pdf,/wp-content/uploads/sites/6/T-117-263.pdf,301,,12/3/17,Not found,Desktop,12/3/17
/pubs/reports/pub110/pdftables_amy/PDF3/T-120-273.pdf/view,/wp-content/uploads/sites/6/T-120-273.pdf,301,,12/3/17,Not found,Desktop,12/3/17
/pubs/reports/pub110/pdftables_amy/PDF3/T-122-280.pdf/view,/wp-content/uploads/sites/6/T-122-280.pdf,301,,12/9/17,Not found,Desktop,12/9/17
/pubs/reports/pub110/pdftables_amy/PDF3/T-124-287.pdf,/wp-content/uploads/sites/6/T-124-287.pdf,301,,12/1/17,Not found,Desktop,12/2/17
/pubs/reports/pub110/pdftables_amy/PDF3/T-134-352.pdf,/wp-content/uploads/sites/6/T-134-352.pdf,301,,12/3/17,Not found,Desktop,12/3/17
/pubs/reports/pub110/pdftables_amy/PDF1/T-17-184.pdf,/wp-content/uploads/sites/6/T-17-184.pdf,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub110/pdftables_amy/PDF1/T-22-439.pdf,/wp-content/uploads/sites/6/T-22-439.pdf,301,,12/3/17,Not found,Desktop,12/3/17
/pubs/reports/pub110/pdftables_amy/PDF1/T-26-629.pdf,/wp-content/uploads/sites/6/T-26-629.pdf,301,,12/3/17,Not found,Desktop,12/3/17
/pubs/reports/pub110/pdftables_amy/PDF2/T-31-56.pdf,/wp-content/uploads/sites/6/T-31-56.pdf,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub110/pdftables_amy/PDF1/T-4-658.pdf,/wp-content/uploads/sites/6/T-4-658.pdf,301,,12/1/17,Not found,Desktop,12/2/17
/pubs/reports/pub110/pdftables_amy/PDF2/T-62-589.pdf/view,/wp-content/uploads/sites/6/T-62-589.pdf,301,,12/14/17,Not found,Desktop,12/14/17
/pubs/reports/pub110/pdftables_amy/PDF2/T-64-591.pdf/view,/wp-content/uploads/sites/6/T-64-591.pdf,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub110/pdftables_amy/PDF2/T-65-592.pdf,/wp-content/uploads/sites/6/T-65-592.pdf,301,,11/29/17,Not found,Desktop,12/3/17
/pubs/reports/pub110/pdftables_amy/PDF3/T-68-61.pdf,/wp-content/uploads/sites/6/T-68-61.pdf,301,,12/8/17,Not found,Desktop,12/8/17
/pubs/reports/pub121/table3.jpg/image_view_fullscreen,/wp-content/uploads/sites/6/table3.jpg,301,,12/11/17,Not found,Desktop,12/11/17
/pubs/reports/pub121/table3.jpg/view,/wp-content/uploads/sites/6/table3.jpg,301,,12/9/17,Not found,Smartphone,12/9/17
/pubs/reports/pub122/table3b.pdf,/wp-content/uploads/sites/6/table3b.pdf,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub122/table4b.pdf,/wp-content/uploads/sites/6/table4b.pdf,301,,12/1/17,Not found,Desktop,12/4/17
/pubs/reports/pub122/table4c.pdf,/wp-content/uploads/sites/6/table4c.pdf,301,,12/2/17,Not found,Desktop,12/5/17
/pubs/reports/pub110/pdftables_amy/tablesall_amy.pdf,/wp-content/uploads/sites/6/tablesall_amy.pdf,301,,12/1/17,Not found,Desktop,12/3/17
/pubs/reports/pub167/trackless.pdf,/wp-content/uploads/sites/6/trackless.pdf,301,,11/30/17,Not found,Desktop,12/4/17
/pubs/reports/pub167/trackless.pdf/at_download/file,/wp-content/uploads/sites/6/trackless.pdf,301,,12/2/17,Not found,Desktop,12/8/17
/pubs/reports/trant04/tranttext.pdf,/wp-content/uploads/sites/6/tranttext.pdf,301,,11/29/17,Not found,Smartphone,11/29/17
/pubs/reports/pub169/tummino,/wp-content/uploads/sites/6/Tummino.pdf,301,,12/5/17,Not found,Desktop,12/12/17
/pubs/reports/pub169/tummino/at_download/file,/wp-content/uploads/sites/6/Tummino.pdf,301,,12/5/17,Not found,Desktop,12/6/17
/pubs/reports/pub174/zones.pdf,/wp-content/uploads/sites/6/zones.pdf,301,,12/1/17,Not found,Desktop,12/14/17
/pubs/reports/pub81-bouche,https://www.clir.org/pubs/reports/pub81/,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub83/statlab,https://www.clir.org/pubs/reports/pub83/,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub173/aapb-ndsr-host-application,https://www.clir.org/wp-content/uploads/sites/6/2017/10/pub173.pdf,301,,12/2/17,Not found,Desktop,12/12/17
/pubs/reports/pub173/dc-resident-application-2016-17,https://www.clir.org/wp-content/uploads/sites/6/2017/10/pub173.pdf,301,,12/1/17,Not found,Desktop,12/1/17
/pubs/reports/pub173/host-institution-commitment-checklist,https://www.clir.org/wp-content/uploads/sites/6/2017/10/pub173.pdf,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub173/ndsr-boston,https://www.clir.org/wp-content/uploads/sites/6/2017/10/pub173.pdf,301,,12/1/17,Not found,Desktop,12/2/17
/pubs/reports/pub173/ndsr-boston-expectations-and-opportunities,https://www.clir.org/wp-content/uploads/sites/6/2017/10/pub173.pdf,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub173/ndsr-dc-host-application-form,https://www.clir.org/wp-content/uploads/sites/6/2017/10/pub173.pdf,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub173/ndsr-dc-resident-application-form,https://www.clir.org/wp-content/uploads/sites/6/2017/10/pub173.pdf,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub173/ndsr-ny-orientation-manual,https://www.clir.org/wp-content/uploads/sites/6/2017/10/pub173.pdf,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/reports/pub152/LinkedDataWorkshop.pdf,wp-content/uploads/sites/6/LinkedDataWorkshop.pdf,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub105/contents.html/instr.pdf,wp-content/uploads/sites/6/instr.pdf,301,,12/8/17,Not found,Desktop,12/9/17
/pubs/reports/pub105/instr.pdf,wp-content/uploads/sites/6/instr.pdf,301,,12/1/17,Not found,Desktop,12/16/17
/pubs/reports/pub105/section2.html/instr.pdf,wp-content/uploads/sites/6/instr.pdf,301,,12/6/17,Not found,Desktop,12/8/17
/pubs/reports/pub105/section3.html/instr.pdf,wp-content/uploads/sites/6/instr.pdf,301,,12/4/17,Not found,Desktop,12/9/17
/pubs/reports/pub110/89158frame,/pubs/reports/pub110/,301,,12/12/17,Not found,Smartphone,12/12/17
/pubs/reports/pub152/Stanford%20Linked%20Data%20Workshop%20Report%20FINAL%20111024_files,/pubs/reports/pub152/,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub152/Stanford%20Linked%20Data%20Workshop%20Report%20FINAL%20111024_files/image004.png/image_view_fullscreen,/wp-content/uploads/sites/6/image004.png,301,,12/1/17,Not found,Desktop,12/2/17
/pubs/reports/pub152/Stanford%20Linked%20Data%20Workshop%20Report%20FINAL%20111024_files/image004.png/view,/wp-content/uploads/sites/6/image004.png,301,,12/1/17,Not found,Desktop,12/16/17
/pubs/reports/pub152/Stanford%20Linked%20Data%20Workshop%20Report%20FINAL%20111024_files/image006.png/view,/wp-content/uploads/sites/6/image006.png,301,,12/16/17,Not found,Desktop,12/16/17
/pubs/reports/pub152/Stanford%20Linked%20Data%20Workshop%20Report%20FINAL%20111024.htm,/pubs/reports/pub152/,301,,12/1/17,Not found,Desktop,12/2/17
/pubs/reports/pub62,/pubs/reports/conway2/,301,,12/16/17,Not found,Smartphone,12/16/17
/pubs/reports/reports/pub152/Stanford%20Linked%20Data%20Workshop%20Report%20FINAL%20111024.htm,/pubs/reports/pub152/,301,,12/2/17,Not found,Desktop,12/4/17
